O___X____ W: 58392, L: 28326, T: 13291
O_X_X__O_ W: 58392, L: 28326, T: 13291
OXX_X__OO W: 58392, L: 28326, T: 13291
X_O_X__O_ W: 58392, L: 28326, T: 13291
XXO_XO_O_ W: 58392, L: 28326, T: 13291
XXOOXOXO_ W: 58392, L: 28326, T: 13291
_____X__O W: 58392, L: 28326, T: 13291
___OXX__O W: 58392, L: 28326, T: 13291
OX_OXX__O W: 58392, L: 28326, T: 13291
OXOOXXX_O W: 58392, L: 28326, T: 13291
_O___X_XO W: 58392, L: 28326, T: 13291
_OO_XX_XO W: 58392, L: 28326, T: 13291
OX_OX____ W: 58392, L: 28326, T: 13291
X_OX__O__ W: 58392, L: 28326, T: 13291
XOOXX_O__ W: 58392, L: 28326, T: 13291
_X_OX__O_ W: 58392, L: 28326, T: 13291
XX_OX__OO W: 58392, L: 28326, T: 13291
O_____XOX W: 58392, L: 28326, T: 13291
OX__O_XOX W: 58392, L: 28326, T: 13291
OXXOO_XOX W: 58392, L: 28326, T: 13291
_X_O_XO__ W: 58392, L: 28326, T: 13291
_X_O_XOOX W: 58392, L: 28326, T: 13291
XXOO_XOOX W: 58392, L: 28326, T: 13291
XXO____O_ W: 58392, L: 28326, T: 13291
XXO_X_OO_ W: 58392, L: 28326, T: 13291
___XOXO__ W: 58392, L: 28326, T: 13291
_OXXOXO__ W: 58392, L: 28326, T: 13291
_OXOX____ W: 58392, L: 28326, T: 13291
XOXOX__O_ W: 58392, L: 28326, T: 13291
_____OX__ W: 58392, L: 28326, T: 13291
O____OX_X W: 58392, L: 28326, T: 13291
OXO__OX_X W: 58392, L: 28326, T: 13291
_O_XO_X__ W: 58392, L: 28326, T: 13291
___X_XOO_ W: 58392, L: 28326, T: 13291
__XXOXOO_ W: 58392, L: 28326, T: 13291
X_X_O___O W: 58392, L: 28326, T: 13291
X_X_OO_XO W: 58392, L: 28326, T: 13291
_OXX__O__ W: 58392, L: 28326, T: 13291
XOXX__OO_ W: 58392, L: 28326, T: 13291
X__OX_O__ W: 58392, L: 28326, T: 13291
