___XXO__O W: 28327, L: 58392, T: 13291
X__XXO_OO W: 28327, L: 58392, T: 13291
__O_XX_O_ W: 28327, L: 58392, T: 13291
___X_____ W: 28327, L: 58392, T: 13291
___XXO___ W: 28327, L: 58392, T: 13291
___XXOOX_ W: 28327, L: 58392, T: 13291
XO_XXOOX_ W: 28327, L: 58392, T: 13291
_______X_ W: 28327, L: 58392, T: 13291
O______XX W: 28327, L: 58392, T: 13291
O_OX___XX W: 28327, L: 58392, T: 13291
OXOX_O_XX W: 28327, L: 58392, T: 13291
_X____OX_ W: 28327, L: 58392, T: 13291
_XXO__OX_ W: 28327, L: 58392, T: 13291
X____O_X_ W: 28327, L: 58392, T: 13291
XO___O_XX W: 28327, L: 58392, T: 13291
XO_XOO_XX W: 28327, L: 58392, T: 13291
__X______ W: 28327, L: 58392, T: 13291
OXX______ W: 28327, L: 58392, T: 13291
OXX_O___X W: 28327, L: 58392, T: 13291
OXXXO__OX W: 28327, L: 58392, T: 13291
________X W: 28327, L: 58392, T: 13291
_O____X_X W: 28327, L: 58392, T: 13291
XO____XOX W: 28327, L: 58392, T: 13291
XO_O_XXOX W: 28327, L: 58392, T: 13291
O__X___X_ W: 28327, L: 58392, T: 13291
O_OXX__X_ W: 28327, L: 58392, T: 13291
X________ W: 28327, L: 58392, T: 13291
X____O__X W: 28327, L: 58392, T: 13291
XO_X_O__X W: 28327, L: 58392, T: 13291
XO_X_OOXX W: 28327, L: 58392, T: 13291
____X____ W: 28327, L: 58392, T: 13291
_O__XX___ W: 28327, L: 58392, T: 13291
_OX_XX__O W: 28327, L: 58392, T: 13291
_X_____OX W: 28327, L: 58392, T: 13291
_X_XO__OX W: 28327, L: 58392, T: 13291
XXOXO__OX W: 28327, L: 58392, T: 13291
XX__O____ W: 28327, L: 58392, T: 13291
XX_OO_X__ W: 28327, L: 58392, T: 13291
XX_OOXXO_ W: 28327, L: 58392, T: 13291
_XOX_____ W: 28327, L: 58392, T: 13291
_XOXXO___ W: 28327, L: 58392, T: 13291
_XOXXOO_X W: 28327, L: 58392, T: 13291
______X__ W: 28327, L: 58392, T: 13291
___XO_X__ W: 28327, L: 58392, T: 13291
_X_XOOX__ W: 28327, L: 58392, T: 13291
_XOXOOXX_ W: 28327, L: 58392, T: 13291
__X_O__X_ W: 28327, L: 58392, T: 13291
O_X_OX_X_ W: 28327, L: 58392, T: 13291
OXX_OXOX_ W: 28327, L: 58392, T: 13291
_X_______ W: 28327, L: 58392, T: 13291
_X__OX___ W: 28327, L: 58392, T: 13291
XX__OXO__ W: 28327, L: 58392, T: 13291
X______XO W: 28327, L: 58392, T: 13291
XX___O_XO W: 28327, L: 58392, T: 13291
XO___X___ W: 28327, L: 58392, T: 13291
XO__XXO__ W: 28327, L: 58392, T: 13291
XO__XXOXO W: 28327, L: 58392, T: 13291
___O__XX_ W: 28327, L: 58392, T: 13291
_X_O_OXX_ W: 28327, L: 58392, T: 13291
_____XXO_ W: 28327, L: 58392, T: 13291
X__O_XXO_ W: 28327, L: 58392, T: 13291
X_XO_XXOO W: 28327, L: 58392, T: 13291
_XXO_____ W: 28327, L: 58392, T: 13291
_XXOX_O__ W: 28327, L: 58392, T: 13291
__XO_XXO_ W: 28327, L: 58392, T: 13291
___X__X_O W: 28327, L: 58392, T: 13291
O__X_XX_O W: 28327, L: 58392, T: 13291
O_XX_XXOO W: 28327, L: 58392, T: 13291
____X__XO W: 28327, L: 58392, T: 13291
__OXX__XO W: 28327, L: 58392, T: 13291
XO__X____ W: 28327, L: 58392, T: 13291
_X_X__O__ W: 28327, L: 58392, T: 13291
_XXX_OO__ W: 28327, L: 58392, T: 13291
_XXXXOOO_ W: 28327, L: 58392, T: 13291
___XO_XXO W: 28327, L: 58392, T: 13291
__X___OX_ W: 28327, L: 58392, T: 13291
_OX__XOX_ W: 28327, L: 58392, T: 13291
_OXX_XOXO W: 28327, L: 58392, T: 13291
_____X___ W: 28327, L: 58392, T: 13291
__X__X_O_ W: 28327, L: 58392, T: 13291
_OX__XXO_ W: 28327, L: 58392, T: 13291
_OXX_XXOO W: 28327, L: 58392, T: 13291
__X_X__O_ W: 28327, L: 58392, T: 13291
X_X_X__OO W: 28327, L: 58392, T: 13291
XOX_XX_OO W: 28327, L: 58392, T: 13291
___O___XX W: 28327, L: 58392, T: 13291
__XOO__XX W: 28327, L: 58392, T: 13291
X_X_____O W: 28327, L: 58392, T: 13291
X_X___XOO W: 28327, L: 58392, T: 13291
O__X_X_XO W: 28327, L: 58392, T: 13291
__XO__X__ W: 28327, L: 58392, T: 13291
XOXO__X__ W: 28327, L: 58392, T: 13291
XXO______ W: 28327, L: 58392, T: 13291
XXOX__O__ W: 28327, L: 58392, T: 13291
XXOX_XOO_ W: 28327, L: 58392, T: 13291
X__O_X___ W: 28327, L: 58392, T: 13291
X_XO_XO__ W: 28327, L: 58392, T: 13291
X_XOOXOX_ W: 28327, L: 58392, T: 13291
____XX_O_ W: 28327, L: 58392, T: 13291
____XXXOO W: 28327, L: 58392, T: 13291
X__OXXXOO W: 28327, L: 58392, T: 13291
