XOOX__OXX W: 5101, L: 22321, T: 2587
____OX_X_ W: 5101, L: 22321, T: 2587
___OOX_XX W: 5101, L: 22321, T: 2587
X_OOOX_XX W: 5101, L: 22321, T: 2587
O____X__X W: 5101, L: 22321, T: 2587
__X_O__X_ W: 5101, L: 22321, T: 2587
X_X_OO_X_ W: 5101, L: 22321, T: 2587
X_X_OOXXO W: 5101, L: 22321, T: 2587
O___X___X W: 5101, L: 22321, T: 2587
O__XX_O_X W: 5101, L: 22321, T: 2587
OX_XXOO_X W: 5101, L: 22321, T: 2587
O_X_____X W: 5101, L: 22321, T: 2587
XX_X___OO W: 5101, L: 22321, T: 2587
XXOXX__OO W: 5101, L: 22321, T: 2587
__O__X_X_ W: 5101, L: 22321, T: 2587
OXO__X_X_ W: 5101, L: 22321, T: 2587
X_OX___OX W: 5101, L: 22321, T: 2587
_X_O_OX_X W: 5101, L: 22321, T: 2587
_X_X___O_ W: 5101, L: 22321, T: 2587
OXXXO_XO_ W: 5101, L: 22321, T: 2587
XO__X____ W: 5101, L: 22321, T: 2587
XOXO_OXX_ W: 5101, L: 22321, T: 2587
_OX____X_ W: 5101, L: 22321, T: 2587
_OX__O_XX W: 5101, L: 22321, T: 2587
OOX_XO_XX W: 5101, L: 22321, T: 2587
____X_OX_ W: 5101, L: 22321, T: 2587
___XX___O W: 5101, L: 22321, T: 2587
O__XX__XO W: 5101, L: 22321, T: 2587
OOXXX__XO W: 5101, L: 22321, T: 2587
X__X_O_OX W: 5101, L: 22321, T: 2587
X_XX_OOOX W: 5101, L: 22321, T: 2587
OO_XX___X W: 5101, L: 22321, T: 2587
__O__X__X W: 5101, L: 22321, T: 2587
O_OX_X__X W: 5101, L: 22321, T: 2587
_____X_OX W: 5101, L: 22321, T: 2587
OX___X_OX W: 5101, L: 22321, T: 2587
__X___XO_ W: 5101, L: 22321, T: 2587
__XX_OXO_ W: 5101, L: 22321, T: 2587
O_XX_OXOX W: 5101, L: 22321, T: 2587
_____XX_O W: 5101, L: 22321, T: 2587
OX___XX_O W: 5101, L: 22321, T: 2587
OX_O_XXXO W: 5101, L: 22321, T: 2587
____OXX__ W: 5101, L: 22321, T: 2587
__O_OXX_X W: 5101, L: 22321, T: 2587
X_OOOXX_X W: 5101, L: 22321, T: 2587
_XO____X_ W: 5101, L: 22321, T: 2587
_XO__X_XO W: 5101, L: 22321, T: 2587
_XO_OXXXO W: 5101, L: 22321, T: 2587
OX_XO___X W: 5101, L: 22321, T: 2587
OXXXOO__X W: 5101, L: 22321, T: 2587
_____XXO_ W: 5101, L: 22321, T: 2587
__X_OXXO_ W: 5101, L: 22321, T: 2587
O_XXOXXO_ W: 5101, L: 22321, T: 2587
XXO___OX_ W: 5101, L: 22321, T: 2587
O_____X_X W: 5101, L: 22321, T: 2587
O_OX__X_X W: 5101, L: 22321, T: 2587
X_X__OOX_ W: 5101, L: 22321, T: 2587
X_XO_OOXX W: 5101, L: 22321, T: 2587
X_O__X___ W: 5101, L: 22321, T: 2587
XXO__X__O W: 5101, L: 22321, T: 2587
XXOO_XX_O W: 5101, L: 22321, T: 2587
XX__O____ W: 5101, L: 22321, T: 2587
XXO_O__X_ W: 5101, L: 22321, T: 2587
XXO_O_XXO W: 5101, L: 22321, T: 2587
XO_X_O__X W: 5101, L: 22321, T: 2587
XOXX_OO_X W: 5101, L: 22321, T: 2587
O__X_X___ W: 5101, L: 22321, T: 2587
O_OX_XX__ W: 5101, L: 22321, T: 2587
XO_OX_X__ W: 5101, L: 22321, T: 2587
OXX__O__X W: 5101, L: 22321, T: 2587
OXXOXO__X W: 5101, L: 22321, T: 2587
XO______X W: 5101, L: 22321, T: 2587
XO__O__XX W: 5101, L: 22321, T: 2587
XOOXO__XX W: 5101, L: 22321, T: 2587
___X_OX__ W: 5101, L: 22321, T: 2587
___XXOXO_ W: 5101, L: 22321, T: 2587
OX_XXOXO_ W: 5101, L: 22321, T: 2587
X__X_O___ W: 5101, L: 22321, T: 2587
___O_X__X W: 5101, L: 22321, T: 2587
_X_OOX__X W: 5101, L: 22321, T: 2587
_O__XX_XO W: 5101, L: 22321, T: 2587
OOX_XX_XO W: 5101, L: 22321, T: 2587
XX_O_XO__ W: 5101, L: 22321, T: 2587
___XX__O_ W: 5101, L: 22321, T: 2587
_O_XX_XO_ W: 5101, L: 22321, T: 2587
O_XX_____ W: 5101, L: 22321, T: 2587
O_XX_OX__ W: 5101, L: 22321, T: 2587
OXXX_OXO_ W: 5101, L: 22321, T: 2587
_X_____OX W: 5101, L: 22321, T: 2587
OX____XOX W: 5101, L: 22321, T: 2587
OXX__OXOX W: 5101, L: 22321, T: 2587
XOXX___O_ W: 5101, L: 22321, T: 2587
_X___O__X W: 5101, L: 22321, T: 2587
_X_XOO__X W: 5101, L: 22321, T: 2587
_X_XOOOXX W: 5101, L: 22321, T: 2587
O_XXX___O W: 5101, L: 22321, T: 2587
OXXXX_O_O W: 5101, L: 22321, T: 2587
___XO_X__ W: 5101, L: 22321, T: 2587
_X_XO_X_O W: 5101, L: 22321, T: 2587
