______OXX W: 22321, L: 5101, T: 2587
__X__OOXX W: 22321, L: 5101, T: 2587
X_XO_OOXX W: 22321, L: 5101, T: 2587
O_OX__XX_ W: 22321, L: 5101, T: 2587
OXOXO_XX_ W: 22321, L: 5101, T: 2587
_O____XX_ W: 22321, L: 5101, T: 2587
_O_X__XXO W: 22321, L: 5101, T: 2587
_____XOX_ W: 22321, L: 5101, T: 2587
__O__XOXX W: 22321, L: 5101, T: 2587
O_OX_XOXX W: 22321, L: 5101, T: 2587
___OX__X_ W: 22321, L: 5101, T: 2587
__OOX_XX_ W: 22321, L: 5101, T: 2587
X_OOXOXX_ W: 22321, L: 5101, T: 2587
_X___O__X W: 22321, L: 5101, T: 2587
_XX_OO__X W: 22321, L: 5101, T: 2587
_XX_OOOXX W: 22321, L: 5101, T: 2587
_OXX_____ W: 22321, L: 5101, T: 2587
_OXX_O_X_ W: 22321, L: 5101, T: 2587
XOXXOO_X_ W: 22321, L: 5101, T: 2587
XO_____X_ W: 22321, L: 5101, T: 2587
XO____XXO W: 22321, L: 5101, T: 2587
_XX_OO_X_ W: 22321, L: 5101, T: 2587
_OXX_O__X W: 22321, L: 5101, T: 2587
OOXX_O_XX W: 22321, L: 5101, T: 2587
_O___X__X W: 22321, L: 5101, T: 2587
XO___XO_X W: 22321, L: 5101, T: 2587
X_____O_X W: 22321, L: 5101, T: 2587
X_X___OOX W: 22321, L: 5101, T: 2587
O___XO_XX W: 22321, L: 5101, T: 2587
__X__XOXO W: 22321, L: 5101, T: 2587
X_X_OXOXO W: 22321, L: 5101, T: 2587
X__O____X W: 22321, L: 5101, T: 2587
XX_O__O_X W: 22321, L: 5101, T: 2587
XOXX____O W: 22321, L: 5101, T: 2587
___OXX___ W: 22321, L: 5101, T: 2587
O__OXXX__ W: 22321, L: 5101, T: 2587
_XOX__O_X W: 22321, L: 5101, T: 2587
OXOX_XO_X W: 22321, L: 5101, T: 2587
X__O__X__ W: 22321, L: 5101, T: 2587
XOOOX_XX_ W: 22321, L: 5101, T: 2587
_OX___X__ W: 22321, L: 5101, T: 2587
_XOO___XX W: 22321, L: 5101, T: 2587
XXOO__OXX W: 22321, L: 5101, T: 2587
X_X__OO_X W: 22321, L: 5101, T: 2587
X___OXO_X W: 22321, L: 5101, T: 2587
O_X_X____ W: 22321, L: 5101, T: 2587
O_XOXX___ W: 22321, L: 5101, T: 2587
X______OX W: 22321, L: 5101, T: 2587
XXO____OX W: 22321, L: 5101, T: 2587
XXOO_X_OX W: 22321, L: 5101, T: 2587
_X_O__X__ W: 22321, L: 5101, T: 2587
_XXO__XO_ W: 22321, L: 5101, T: 2587
O_____XX_ W: 22321, L: 5101, T: 2587
OX_O__XX_ W: 22321, L: 5101, T: 2587
__XX__O__ W: 22321, L: 5101, T: 2587
__XX_XO_O W: 22321, L: 5101, T: 2587
__X_O_X__ W: 22321, L: 5101, T: 2587
__X_O_XOX W: 22321, L: 5101, T: 2587
_OX__OXX_ W: 22321, L: 5101, T: 2587
_X__X_O__ W: 22321, L: 5101, T: 2587
_X_XX_OO_ W: 22321, L: 5101, T: 2587
_OX____X_ W: 22321, L: 5101, T: 2587
_OX_X_OX_ W: 22321, L: 5101, T: 2587
XOX_XOOX_ W: 22321, L: 5101, T: 2587
_XO____X_ W: 22321, L: 5101, T: 2587
___X__O_X W: 22321, L: 5101, T: 2587
__OXX_O_X W: 22321, L: 5101, T: 2587
OXX_X__O_ W: 22321, L: 5101, T: 2587
X_O_X____ W: 22321, L: 5101, T: 2587
XXO_X__O_ W: 22321, L: 5101, T: 2587
XXO_XOXO_ W: 22321, L: 5101, T: 2587
__XXX_O_O W: 22321, L: 5101, T: 2587
____XX__O W: 22321, L: 5101, T: 2587
_X_OXX__O W: 22321, L: 5101, T: 2587
OX_OXXX_O W: 22321, L: 5101, T: 2587
_O___X_X_ W: 22321, L: 5101, T: 2587
_O__XX_XO W: 22321, L: 5101, T: 2587
_OO_XXXXO W: 22321, L: 5101, T: 2587
_X_OX____ W: 22321, L: 5101, T: 2587
X__X__O__ W: 22321, L: 5101, T: 2587
X_OXX_O__ W: 22321, L: 5101, T: 2587
XX_OXX_OO W: 22321, L: 5101, T: 2587
______XOX W: 22321, L: 5101, T: 2587
OX____XOX W: 22321, L: 5101, T: 2587
OXX_O_XOX W: 22321, L: 5101, T: 2587
_X_O_X___ W: 22321, L: 5101, T: 2587
_X_O_XO_X W: 22321, L: 5101, T: 2587
XX_O_XOOX W: 22321, L: 5101, T: 2587
XXO_XXOO_ W: 22321, L: 5101, T: 2587
___X_XO__ W: 22321, L: 5101, T: 2587
__XXOXO__ W: 22321, L: 5101, T: 2587
_OX_X____ W: 22321, L: 5101, T: 2587
XOXOX____ W: 22321, L: 5101, T: 2587
_____OX_X W: 22321, L: 5101, T: 2587
OX___OX_X W: 22321, L: 5101, T: 2587
__XX_XOO_ W: 22321, L: 5101, T: 2587
X_X_O__XO W: 22321, L: 5101, T: 2587
XOXX__O__ W: 22321, L: 5101, T: 2587
XOXXX_OO_ W: 22321, L: 5101, T: 2587
X_XOX_O__ W: 22321, L: 5101, T: 2587
OXO__X_X_ W: 22321, L: 5101, T: 2587
OXO_OXXX_ W: 22321, L: 5101, T: 2587
__O__XXOX W: 22321, L: 5101, T: 2587
O_OX_XXOX W: 22321, L: 5101, T: 2587
XOO___X_X W: 22321, L: 5101, T: 2587
_____OXX_ W: 22321, L: 5101, T: 2587
XOX_OOXX_ W: 22321, L: 5101, T: 2587
__O__X__X W: 22321, L: 5101, T: 2587
X_O__X_OX W: 22321, L: 5101, T: 2587
_XOXXO_OX W: 22321, L: 5101, T: 2587
X__OXX__O W: 22321, L: 5101, T: 2587
XX_OXXO_O W: 22321, L: 5101, T: 2587
O__XX____ W: 22321, L: 5101, T: 2587
OOXXX____ W: 22321, L: 5101, T: 2587
OOXXX__OX W: 22321, L: 5101, T: 2587
X_XO_____ W: 22321, L: 5101, T: 2587
XOXO_OX_X W: 22321, L: 5101, T: 2587
____X_O_X W: 22321, L: 5101, T: 2587
O__XX_O_X W: 22321, L: 5101, T: 2587
O____X_X_ W: 22321, L: 5101, T: 2587
O_O__X_XX W: 22321, L: 5101, T: 2587
_X___O_X_ W: 22321, L: 5101, T: 2587
_X_O_O_XX W: 22321, L: 5101, T: 2587
O____X__X W: 22321, L: 5101, T: 2587
OX___X_OX W: 22321, L: 5101, T: 2587
OX__XXOOX W: 22321, L: 5101, T: 2587
O_XXX_O__ W: 22321, L: 5101, T: 2587
_XO__XX_O W: 22321, L: 5101, T: 2587
_XOOXXX_O W: 22321, L: 5101, T: 2587
__X____OX W: 22321, L: 5101, T: 2587
O_XX___OX W: 22321, L: 5101, T: 2587
O_XXO_XOX W: 22321, L: 5101, T: 2587
___O_X__X W: 22321, L: 5101, T: 2587
___OOX_XX W: 22321, L: 5101, T: 2587
XO_OOX_XX W: 22321, L: 5101, T: 2587
_XX__OOX_ W: 22321, L: 5101, T: 2587
_XXXOOOX_ W: 22321, L: 5101, T: 2587
XX____O__ W: 22321, L: 5101, T: 2587
XX_X__O_O W: 22321, L: 5101, T: 2587
X_O__XXO_ W: 22321, L: 5101, T: 2587
XXO_OXXO_ W: 22321, L: 5101, T: 2587
__OXX____ W: 22321, L: 5101, T: 2587
_OOXX__X_ W: 22321, L: 5101, T: 2587
__XXOOX__ W: 22321, L: 5101, T: 2587
_XXXOOXO_ W: 22321, L: 5101, T: 2587
___O__X_X W: 22321, L: 5101, T: 2587
__XO_OX_X W: 22321, L: 5101, T: 2587
__X_O___X W: 22321, L: 5101, T: 2587
X_X_O_O_X W: 22321, L: 5101, T: 2587
X_X_OOOXX W: 22321, L: 5101, T: 2587
_O__X_X__ W: 22321, L: 5101, T: 2587
X__XO_OX_ W: 22321, L: 5101, T: 2587
XO_XOXOX_ W: 22321, L: 5101, T: 2587
X___O__X_ W: 22321, L: 5101, T: 2587
XO_XO__X_ W: 22321, L: 5101, T: 2587
X_X__O___ W: 22321, L: 5101, T: 2587
X_X__O_OX W: 22321, L: 5101, T: 2587
O___X___X W: 22321, L: 5101, T: 2587
OO_XX___X W: 22321, L: 5101, T: 2587
O_XX_____ W: 22321, L: 5101, T: 2587
OXXX___O_ W: 22321, L: 5101, T: 2587
OXXX__XOO W: 22321, L: 5101, T: 2587
_____X_OX W: 22321, L: 5101, T: 2587
__XX___O_ W: 22321, L: 5101, T: 2587
_OXX_X_O_ W: 22321, L: 5101, T: 2587
_X__O_X__ W: 22321, L: 5101, T: 2587
XX__O_XO_ W: 22321, L: 5101, T: 2587
______XXO W: 22321, L: 5101, T: 2587
O____XXXO W: 22321, L: 5101, T: 2587
OO__XXXXO W: 22321, L: 5101, T: 2587
_____X_XO W: 22321, L: 5101, T: 2587
X___OX_XO W: 22321, L: 5101, T: 2587
